"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"1","Autauga County, Alabama",9.1,"11.4 (10.8, 11.9)","1 (1, 1.1)",10.2,56,14.8,1.2
"2","Baldwin County, Alabama",49.5,"10 (9.5, 10.5)","4.9 (4.7, 5.2)",9.2,53.9,5,1.5
"3","Barbour County, Alabama",5,"13.5 (12.9, 14.1)","0.7 (0.6, 0.7)",10.4,56.5,37.1,1.1
"4","Bibb County, Alabama",3.8,"11.3 (10.8, 11.9)","0.4 (0.4, 0.5)",10.5,55.7,13.7,1.5
"5","Blount County, Alabama",11,"10.1 (9.6, 10.7)","1.1 (1.1, 1.2)",10.1,54.6,1.4,2.7
"6","Bullock County, Alabama",1.8,"16.7 (16, 17.4)","0.3 (0.3, 0.3)",11.8,56.2,64.5,1.8
"7","Butler County, Alabama",4.2,"14.5 (13.9, 15.1)","0.6 (0.6, 0.6)",13.9,59.1,33.9,0.7
"8","Calhoun County, Alabama",21,"11.1 (10.6, 11.7)","2.3 (2.2, 2.5)",10.2,57.2,14.9,1.3
"9","Chambers County, Alabama",6.8,"13 (12.4, 13.6)","0.9 (0.8, 0.9)",10.9,57.1,31.5,0.9
"10","Cherokee County, Alabama",6.4,"10.1 (9.6, 10.6)","0.6 (0.6, 0.7)",9.5,52.8,4,0.6
"11","Chilton County, Alabama",7.8,"10.5 (10, 11.1)","0.8 (0.8, 0.9)",10.2,54.9,8.2,1.6
"12","Choctaw County, Alabama",3,"14.2 (13.5, 14.8)","0.4 (0.4, 0.4)",11.8,56.9,37.7,0.7
"13","Clarke County, Alabama",4.9,"14 (13.4, 14.7)","0.7 (0.7, 0.7)",12.1,56,33.5,0.7
"14","Clay County, Alabama",2.8,"11.6 (11, 12.2)","0.3 (0.3, 0.3)",10.9,55,11.2,1.3
"15","Cleburne County, Alabama",3,"10.6 (10, 11.1)","0.3 (0.3, 0.3)",11.5,55.5,3.5,0.8
"16","Coffee County, Alabama",9.4,"11.6 (11, 12.1)","1.1 (1, 1.1)",10.9,56.2,14.4,2.6
"17","Colbert County, Alabama",11.4,"11.8 (11.2, 12.3)","1.3 (1.3, 1.4)",11.8,56.7,14.3,0.7
"18","Conecuh County, Alabama",2.8,"13.8 (13.2, 14.4)","0.4 (0.4, 0.4)",11,53.9,36.7,0.4
"19","Coosa County, Alabama",2.6,"12.2 (11.6, 12.7)","0.3 (0.3, 0.3)",10,51.7,23.7,1.3
"20","Covington County, Alabama",8.1,"11.6 (11.1, 12.2)","0.9 (0.9, 1)",12.7,56.6,8.9,1.1
"21","Crenshaw County, Alabama",2.7,"12.2 (11.7, 12.8)","0.3 (0.3, 0.3)",11.7,56.7,20.3,1.2
"22","Cullman County, Alabama",16.1,"9.8 (9.3, 10.3)","1.6 (1.5, 1.7)",9.3,55.4,0.9,1.1
"23","Dale County, Alabama",8.7,"11.4 (10.8, 12)","1 (0.9, 1)",10.8,55.6,14.1,2.6
"24","Dallas County, Alabama",7.1,"15.3 (14.6, 15.9)","1.1 (1, 1.1)",10.3,57.6,57.5,0.7
"25","DeKalb County, Alabama",12.8,"9.9 (9.3, 10.4)","1.3 (1.2, 1.3)",9.6,55,1.4,1.8
"26","Elmore County, Alabama",13.4,"10.5 (9.9, 11)","1.4 (1.3, 1.5)",8.8,55.6,11.4,0.9
"27","Escambia County, Alabama",6.8,"12.5 (12, 13.1)","0.9 (0.8, 0.9)",10.6,58.1,23.3,0.8
"28","Etowah County, Alabama",20.1,"10.7 (10.1, 11.2)","2.1 (2, 2.2)",9.5,56.6,11.2,0.9
"29","Fayette County, Alabama",3.6,"10.9 (10.4, 11.5)","0.4 (0.4, 0.4)",9.3,55,10.6,0.5
"30","Franklin County, Alabama",5.4,"10.6 (10.1, 11.2)","0.6 (0.5, 0.6)",10.6,55.4,4.6,3.4
"31","Geneva County, Alabama",5.6,"10.9 (10.4, 11.5)","0.6 (0.6, 0.6)",10.6,54.6,8.1,1.3
"32","Greene County, Alabama",2,"17.9 (17.2, 18.6)","0.3 (0.3, 0.4)",12.8,57.7,74.4,0.5
"33","Hale County, Alabama",3,"15.4 (14.8, 16.1)","0.5 (0.4, 0.5)",11.8,56.6,50.5,0.5
"34","Henry County, Alabama",4.1,"12.1 (11.6, 12.7)","0.5 (0.5, 0.5)",10.6,56.4,22.8,0.8
"35","Houston County, Alabama",19.9,"11.9 (11.3, 12.4)","2.4 (2.2, 2.5)",11.1,57,17.9,1.3
"36","Jackson County, Alabama",10.9,"10 (9.5, 10.5)","1.1 (1, 1.1)",9.4,55.4,3.1,0.7
"37","Jefferson County, Alabama",109.5,"13.6 (13, 14.2)","14.9 (14.2, 15.5)",12,58.2,36.7,0.9
"38","Lamar County, Alabama",3.1,"11.4 (10.8, 12)","0.4 (0.3, 0.4)",11.6,55.2,8.5,0.8
"39","Lauderdale County, Alabama",19.5,"10.9 (10.4, 11.4)","2.1 (2, 2.2)",11.2,56.1,6.8,0.9
"40","Lawrence County, Alabama",6.3,"10.8 (10.3, 11.4)","0.7 (0.7, 0.7)",9.2,54.7,11.9,0.6
"41","Lee County, Alabama",21.6,"11.1 (10.5, 11.6)","2.4 (2.3, 2.5)",9.1,55.5,19.1,1.6
"42","Limestone County, Alabama",16.1,"10.6 (10.1, 11.2)","1.7 (1.6, 1.8)",9.8,55.1,10,1.3
"43","Lowndes County, Alabama",2,"16.8 (16.1, 17.5)","0.3 (0.3, 0.3)",12.1,57.3,62.6,0.7
"44","Macon County, Alabama",3.8,"17.8 (17.1, 18.5)","0.7 (0.6, 0.7)",10.9,59,78.5,1
"45","Madison County, Alabama",59.2,"11.9 (11.3, 12.4)","7 (6.7, 7.4)",11.3,56,17.8,1.8
"46","Marengo County, Alabama",3.9,"14.8 (14.1, 15.4)","0.6 (0.5, 0.6)",13,56.2,42.7,0.9
"47","Marion County, Alabama",6.4,"11 (10.5, 11.6)","0.7 (0.7, 0.7)",12,55.5,2.6,0.7
"48","Marshall County, Alabama",16.9,"10.2 (9.6, 10.7)","1.7 (1.6, 1.8)",10.4,56.6,1.3,2.1
"49","Mobile County, Alabama",70.5,"12.6 (12, 13.2)","8.9 (8.5, 9.3)",10.6,56.8,28.4,1.6
"50","Monroe County, Alabama",4.4,"13.7 (13.1, 14.3)","0.6 (0.6, 0.6)",12.1,56.9,34.6,0.9
"51","Montgomery County, Alabama",35.9,"14.2 (13.6, 14.9)","5.1 (4.9, 5.3)",11.3,58.5,44.9,1.1
"52","Morgan County, Alabama",21.9,"10.7 (10.2, 11.3)","2.3 (2.2, 2.5)",10.3,56.3,7.9,1.5
"53","Perry County, Alabama",1.8,"16.5 (15.8, 17.2)","0.3 (0.3, 0.3)",12.2,59.8,56.3,0.8
"54","Pickens County, Alabama",3.9,"13.4 (12.8, 14)","0.5 (0.5, 0.6)",10.8,55.1,33,0.7
"55","Pike County, Alabama",5.2,"12.9 (12.3, 13.5)","0.7 (0.6, 0.7)",10.8,56.4,27.8,0.8
"56","Randolph County, Alabama",4.9,"11.6 (11, 12.1)","0.6 (0.5, 0.6)",10.9,54.9,14.5,1
"57","Russell County, Alabama",8.8,"13.3 (12.7, 13.9)","1.2 (1.1, 1.2)",10.4,58.3,37.3,1.8
"58","St. Clair County, Alabama",15.9,"10 (9.5, 10.5)","1.6 (1.5, 1.7)",9.2,55.7,5.6,0.7
"59","Shelby County, Alabama",36.3,"10.3 (9.8, 10.8)","3.7 (3.5, 3.9)",10.2,55.8,7.4,1.5
"60","Sumter County, Alabama",2.4,"17.5 (16.8, 18.2)","0.4 (0.4, 0.4)",14.7,58,65.5,0.6
"61","Talladega County, Alabama",15.1,"11.7 (11.2, 12.3)","1.8 (1.7, 1.9)",9.5,55,24.1,0.8
"62","Tallapoosa County, Alabama",9.2,"11.3 (10.7, 11.8)","1 (1, 1.1)",9,53.6,18.9,0.6
"63","Tuscaloosa County, Alabama",29.8,"11.9 (11.3, 12.5)","3.5 (3.4, 3.7)",10.6,56.7,24.3,1.2
"64","Walker County, Alabama",12.7,"9.9 (9.4, 10.5)","1.3 (1.2, 1.3)",8.7,56.1,4,0.7
"65","Washington County, Alabama",3.3,"11.8 (11.2, 12.4)","0.4 (0.4, 0.4)",9.6,54.9,21.3,1
